Òèðàæ;Øàð 1;Øàð 2;Øàð 3;Øàð 4;Øàð 5;Øàð 6;Øàð 7;Øàð 8;Øàð 9;Øàð 10;Øàð 11;Øàð 12;Øàð 13;Øàð 14;Øàð 15;Øàð 16;Øàð 17;Øàð 18;Øàð 19;Øàð 20
1;45;6;11;24;53;43;57;42;23;41;5;58;60;3;35;10;17;39;59;14
2;13;18;49;42;30;32;39;44;40;21;41;38;34;33;16;31;46;7;1;6
3;42;37;19;43;26;24;57;31;45;55;12;46;5;15;8;35;4;29;16;17
4;60;51;41;47;26;54;21;28;5;17;22;8;59;38;34;15;24;23;43;16
5;38;27;10;53;55;44;56;39;34;26;3;4;45;57;20;48;24;19;35;6
6;4;49;39;31;40;50;52;35;7;20;1;58;12;48;46;43;19;37;29;59
7;1;9;52;33;29;28;24;58;21;15;16;34;18;46;23;8;56;45;13;54
8;10;32;8;26;7;30;37;42;23;53;45;36;48;2;17;21;25;55;44;19
9;53;38;54;39;30;47;6;36;24;31;40;48;60;35;15;56;55;16;20;57
10;28;52;12;53;55;49;15;30;14;39;3;20;54;60;19;50;22;41;35;29
11;9;24;34;43;57;1;18;42;6;37;47;5;16;12;56;27;15;19;25;36
12;20;56;23;25;53;48;3;21;12;58;1;45;18;10;33;35;17;55;8;7
13;11;27;35;2;34;44;51;37;3;16;17;60;29;45;12;59;32;18;20;39
14;55;19;13;23;2;26;6;45;50;27;4;10;8;20;7;51;33;44;5;29
15;30;44;11;57;46;13;27;12;17;18;2;43;7;9;39;51;25;22;28;40
16;7;44;58;55;31;40;26;60;32;27;33;21;1;47;20;12;28;41;54;39
17;21;36;1;57;24;34;48;7;40;45;43;33;53;42;30;31;22;2;32;23
18;43;48;45;32;6;9;23;27;60;50;17;44;41;16;26;21;28;8;18;40
19;43;1;19;52;20;11;29;10;40;8;31;49;26;37;39;59;6;7;5;4
20;9;4;30;18;21;47;41;33;20;60;23;52;58;56;40;53;34;17;28;22
21;39;53;49;23;18;59;36;8;52;10;28;32;42;34;41;12;16;57;20;50
22;58;46;24;40;35;51;41;42;43;9;36;29;20;3;10;30;49;39;47;60
23;31;59;19;39;33;4;36;41;2;16;10;58;38;50;56;46;15;35;25;11
24;15;45;52;36;17;6;5;42;18;38;39;58;19;12;16;8;48;1;33;30
25;50;35;18;14;46;2;45;34;31;44;6;43;37;1;26;58;22;12;36;4
26;19;37;9;18;50;27;59;20;41;10;1;33;32;38;40;51;39;13;14;34
27;7;44;49;30;29;55;9;37;22;53;3;54;2;52;57;6;17;4;12;10
28;33;25;58;49;10;54;26;28;11;41;22;42;60;14;36;46;53;37;15;34
29;40;43;50;10;39;14;16;32;23;54;9;58;26;21;59;48;3;34;42;57
30;32;42;56;1;31;44;40;54;5;12;24;4;49;48;36;59;23;58;2;3
31;51;41;35;13;59;24;6;12;44;49;52;37;1;27;25;15;30;21;11;2
32;58;42;15;36;10;14;16;60;43;41;18;17;47;49;6;21;30;27;46;50
33;44;14;39;10;59;42;9;15;50;40;32;46;18;48;20;58;25;36;57;41
34;48;55;53;14;45;15;46;28;11;12;7;9;21;41;4;60;3;10;54;8
35;10;18;34;8;4;23;3;35;42;37;39;47;14;26;46;5;54;48;43;50
36;60;38;29;58;28;31;23;52;32;45;18;42;57;48;13;19;4;47;10;17
37;56;20;28;2;42;45;37;9;35;17;4;53;31;8;49;44;6;40;43;52
38;15;13;23;44;58;21;2;45;56;9;59;5;1;60;19;22;20;33;39;31
39;8;13;32;24;58;27;47;43;57;5;18;4;55;17;49;11;39;48;1;60
40;43;36;3;26;12;46;17;19;50;45;42;59;24;28;21;4;40;23;60;20
41;44;48;11;39;35;26;29;33;37;20;52;49;23;30;14;18;36;7;57;45
42;43;49;48;3;11;42;57;38;55;56;37;19;8;24;26;1;51;30;15;29
43;1;47;20;48;38;23;7;15;42;59;31;24;51;17;25;39;4;32;53;40
44;28;11;51;43;38;41;35;57;58;59;9;13;39;44;34;1;50;3;47;25
45;52;18;6;48;38;2;12;8;28;34;41;39;5;53;24;3;31;59;50;14
46;33;43;20;59;34;5;17;47;38;13;55;54;53;56;45;1;57;35;6;18
47;59;56;31;23;49;17;58;55;27;34;6;38;9;11;12;25;14;36;51;57
48;27;54;55;41;57;20;50;35;59;33;12;5;28;38;16;18;4;17;51;11
49;2;45;26;25;36;1;20;50;28;56;17;3;57;47;49;51;23;54;60;43
50;3;1;58;23;56;40;7;10;2;43;52;45;24;42;37;49;13;36;6;50
51;16;42;58;18;56;25;49;14;5;23;38;35;52;11;4;21;8;50;40;45
52;58;49;46;16;18;31;44;12;23;22;43;15;59;60;33;14;8;30;3;9
53;20;10;27;35;2;40;22;12;23;52;38;30;48;9;17;1;16;34;46;57
54;12;50;54;9;52;18;10;56;59;3;22;35;11;14;57;2;7;36;25;26
55;20;5;22;51;30;45;59;40;55;13;2;18;34;32;33;23;8;10;35;48
56;5;3;6;31;24;11;4;46;40;12;36;58;59;25;20;43;14;17;35;34
57;29;33;26;45;60;25;34;10;42;59;40;44;9;1;51;36;30;54;8;28
58;55;25;33;49;21;34;9;31;38;27;8;20;51;5;41;48;43;16;6;53
59;17;4;48;41;27;55;9;14;35;28;20;44;6;46;38;33;34;30;42;12
60;1;40;46;36;35;44;60;29;27;47;54;56;3;23;8;9;26;50;21;33
61;6;12;42;4;35;9;56;54;17;39;31;23;38;1;19;53;50;41;28;59
62;42;31;13;41;7;33;19;54;1;9;37;53;52;24;26;57;18;23;55;4
63;7;25;21;47;43;57;49;10;48;29;45;53;11;37;20;26;17;50;5;30
64;27;48;47;25;10;51;31;7;39;40;21;9;34;36;58;54;60;5;14;35
65;53;37;9;26;51;8;48;28;47;43;55;41;13;39;52;54;22;38;14;50
66;29;6;34;25;23;50;2;18;14;19;12;44;27;42;47;1;38;16;35;5
67;58;26;57;50;27;44;30;39;31;1;41;47;53;21;14;37;16;18;40;13
68;28;31;53;4;45;56;24;58;34;52;51;12;16;25;9;54;1;50;39;5
69;56;14;25;52;46;7;15;26;22;20;27;57;2;50;31;30;21;12;54;43
70;2;24;47;39;26;22;1;7;5;34;58;28;11;56;44;52;9;19;46;49
71;57;38;44;40;58;55;18;56;48;4;39;12;7;17;1;42;20;31;53;45
72;22;53;21;43;19;44;40;57;25;36;2;46;41;6;39;20;49;4;48;60
73;54;57;14;47;35;55;15;31;13;7;41;37;52;34;50;25;1;6;27;32
74;21;30;1;40;26;57;20;31;47;35;33;9;58;12;4;14;27;15;2;23
75;46;58;38;33;20;52;14;25;4;55;9;13;17;42;39;44;11;54;47;51
76;60;15;38;12;16;56;52;32;2;42;7;57;4;33;9;51;44;46;35;55
77;43;18;28;56;23;22;10;41;29;42;19;34;32;49;16;57;31;13;50;26
